"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Howard County, Iowa","9,465","9,489","9,496","9,509","9,376"
" Humboldt County, Iowa","9,599","9,599","9,630","9,521","9,500"
" Ida County, Iowa","7,003","7,022","6,969","6,905","6,833"
" Iowa County, Iowa","16,665","16,658","16,586","16,497","16,381"
" Jackson County, Iowa","19,485","19,455","19,399","19,346","19,342"
" Jasper County, Iowa","37,805","37,810","37,874","37,949","37,919"
" Jefferson County, Iowa","15,665","15,694","15,781","15,668","15,440"
" Johnson County, Iowa","152,862","153,056","155,035","156,915","157,528"
" Jones County, Iowa","20,644","20,653","20,826","20,949","20,900"
" Keokuk County, Iowa","10,026","10,004","9,902","9,883","9,914"
" Kossuth County, Iowa","14,826","14,799","14,515","14,465","14,396"
" Lee County, Iowa","33,559","33,533","33,257","32,829","32,565"
" Linn County, Iowa","230,296","230,419","229,445","228,940","228,972"
" Louisa County, Iowa","10,830","10,814","10,724","10,617","10,513"
" Lucas County, Iowa","8,633","8,618","8,706","8,702","8,747"
" Lyon County, Iowa","11,936","11,930","12,040","12,177","12,324"
" Madison County, Iowa","16,546","16,629","16,793","17,040","16,971"
" Mahaska County, Iowa","22,190","22,160","21,974","21,971","21,874"
" Marion County, Iowa","33,418","33,414","33,441","33,630","33,770"
" Marshall County, Iowa","40,106","40,096","39,913","39,821","40,014"
" Mills County, Iowa","14,483","14,398","14,467","14,535","14,633"
" Mitchell County, Iowa","10,570","10,597","10,563","10,544","10,518"
" Monona County, Iowa","8,753","8,742","8,598","8,506","8,493"
" Monroe County, Iowa","7,570","7,593","7,581","7,530","7,504"
" Montgomery County, Iowa","10,329","10,333","10,316","10,210","10,139"
" Muscatine County, Iowa","43,240","43,143","42,674","42,395","42,218"
" O'Brien County, Iowa","14,181","14,150","14,044","14,085","14,012"
" Osceola County, Iowa","6,191","6,198","6,170","6,072","5,978"
" Page County, Iowa","15,207","15,190","15,220","15,176","15,014"
" Palo Alto County, Iowa","8,994","8,986","8,923","8,790","8,810"
" Plymouth County, Iowa","25,699","25,692","25,731","25,722","25,722"
" Pocahontas County, Iowa","7,075","7,065","7,039","7,073","6,976"
" Polk County, Iowa","492,410","493,022","497,842","501,184","505,255"
" Pottawattamie County, Iowa","93,666","93,669","93,410","93,065","93,179"
" Poweshiek County, Iowa","18,659","18,631","18,624","18,518","18,453"
" Ringgold County, Iowa","4,660","4,639","4,632","4,688","4,642"
" Sac County, Iowa","9,822","9,799","9,768","9,689","9,686"
" Scott County, Iowa","174,671","174,609","174,225","173,751","174,270"
" Shelby County, Iowa","11,760","11,735","11,780","11,711","11,806"
" Sioux County, Iowa","35,863","35,885","35,959","36,127","36,246"
" Story County, Iowa","98,533","98,649","99,679","98,257","98,566"
" Tama County, Iowa","17,133","17,081","16,898","16,943","16,833"
" Taylor County, Iowa","5,893","5,862","5,866","5,875","5,924"
" Union County, Iowa","12,142","12,132","12,049","11,903","11,906"
" Van Buren County, Iowa","7,206","7,222","7,258","7,252","7,266"
" Wapello County, Iowa","35,436","35,326","35,295","35,081","35,166"
" Warren County, Iowa","52,398","52,591","53,485","54,303","55,205"
" Washington County, Iowa","22,566","22,542","22,522","22,542","22,560"
" Wayne County, Iowa","6,502","6,512","6,531","6,490","6,557"
" Webster County, Iowa","37,002","36,996","37,170","36,652","36,485"
" Winnebago County, Iowa","10,683","10,662","10,661","10,639","10,571"
" Winneshiek County, Iowa","20,064","20,045","19,935","19,902","19,815"
" Woodbury County, Iowa","105,939","105,912","105,749","105,558","105,951"
" Worth County, Iowa","7,445","7,436","7,377","7,311","7,297"
" Wright County, Iowa","12,942","12,916","12,813","12,695","12,656"
" Allen County, Kansas","12,522","12,533","12,498","12,489","12,412"
" Anderson County, Kansas","7,834","7,839","7,807","7,798","7,838"
" Atchison County, Kansas","16,347","16,328","16,236","16,053","16,016"
" Barber County, Kansas","4,228","4,198","4,099","4,124","4,071"
" Barton County, Kansas","25,501","25,427","25,263","25,058","24,899"
" Bourbon County, Kansas","14,362","14,335","14,326","14,443","14,408"
" Brown County, Kansas","9,501","9,472","9,446","9,373","9,250"
" Butler County, Kansas","67,376","67,391","67,976","68,289","68,632"
" Chase County, Kansas","2,573","2,571","2,604","2,568","2,579"
" Chautauqua County, Kansas","3,384","3,386","3,389","3,387","3,347"
" Cherokee County, Kansas","19,367","19,309","19,186","19,025","19,054"
" Cheyenne County, Kansas","2,616","2,614","2,637","2,618","2,636"
" Clark County, Kansas","1,992","1,979","1,958","1,939","1,847"
" Clay County, Kansas","8,110","8,121","8,090","8,041","8,007"
" Cloud County, Kansas","9,035","9,009","8,954","8,934","8,854"
" Coffey County, Kansas","8,359","8,357","8,337","8,252","8,251"
" Comanche County, Kansas","1,685","1,678","1,663","1,690","1,655"
" Cowley County, Kansas","34,554","34,534","34,624","34,423","34,157"
" Crawford County, Kansas","38,971","38,948","39,028","39,145","38,764"
" Decatur County, Kansas","2,764","2,759","2,766","2,689","2,712"
" Dickinson County, Kansas","18,401","18,373","18,465","18,355","18,445"
" Doniphan County, Kansas","7,509","7,474","7,456","7,475","7,493"
" Douglas County, Kansas","118,779","118,784","119,493","120,007","120,553"
" Edwards County, Kansas","2,903","2,884","2,802","2,760","2,733"
" Elk County, Kansas","2,486","2,482","2,439","2,448","2,467"
" Ellis County, Kansas","28,935","28,948","28,850","28,840","28,810"
" Ellsworth County, Kansas","6,382","6,369","6,324","6,383","6,357"
" Finney County, Kansas","38,466","38,304","38,079","37,639","37,466"
" Ford County, Kansas","34,288","34,215","34,186","33,924","33,980"
" Franklin County, Kansas","25,983","26,000","26,002","25,959","26,125"
" Geary County, Kansas","36,735","36,760","36,116","35,529","35,047"
" Gove County, Kansas","2,722","2,714","2,747","2,742","2,735"
" Graham County, Kansas","2,412","2,403","2,400","2,397","2,376"
" Grant County, Kansas","7,352","7,326","7,333","7,250","7,147"
" Gray County, Kansas","5,655","5,647","5,664","5,711","5,743"
" Greeley County, Kansas","1,282","1,274","1,282","1,232","1,181"
" Greenwood County, Kansas","6,018","5,977","5,921","5,908","5,870"
" Hamilton County, Kansas","2,517","2,487","2,478","2,452","2,437"
" Harper County, Kansas","5,490","5,472","5,355","5,400","5,435"
" Harvey County, Kansas","34,019","33,986","33,788","33,671","33,504"
" Haskell County, Kansas","3,781","3,760","3,652","3,595","3,630"
" Hodgeman County, Kansas","1,721","1,737","1,724","1,697","1,655"
" Jackson County, Kansas","13,231","13,239","13,263","13,292","13,368"
" Jefferson County, Kansas","18,360","18,323","18,429","18,354","18,327"
" Jewell County, Kansas","2,929","2,927","2,942","2,885","2,847"
" Johnson County, Kansas","609,877","611,149","614,889","619,091","622,237"
" Kearny County, Kansas","3,982","3,962","3,897","3,865","3,823"
" Kingman County, Kansas","7,473","7,425","7,291","7,174","7,066"
" Kiowa County, Kansas","2,461","2,455","2,409","2,405","2,374"
" Labette County, Kansas","20,191","20,170","19,914","19,702","19,728"
" Lane County, Kansas","1,573","1,568","1,561","1,544","1,529"
" Leavenworth County, Kansas","81,901","81,966","82,398","82,922","83,518"
" Lincoln County, Kansas","2,940","2,949","2,910","2,911","2,920"
" Linn County, Kansas","9,592","9,587","9,740","9,777","9,860"
" Logan County, Kansas","2,758","2,739","2,710","2,703","2,665"
" Lyon County, Kansas","32,178","32,113","32,028","32,031","32,172"
" McPherson County, Kansas","30,221","30,184","30,164","30,063","30,091"
" Marion County, Kansas","11,834","11,793","11,750","11,783","11,690"
" Marshall County, Kansas","10,034","10,023","10,021","9,992","9,933"
" Meade County, Kansas","4,062","4,061","3,997","3,913","3,911"
" Miami County, Kansas","34,193","34,224","34,641","34,791","35,320"
" Mitchell County, Kansas","5,792","5,773","5,744","5,730","5,719"
" Montgomery County, Kansas","31,492","31,404","31,181","30,853","30,568"
" Morris County, Kansas","5,391","5,369","5,386","5,400","5,334"
" Morton County, Kansas","2,700","2,700","2,671","2,601","2,580"
" Nemaha County, Kansas","10,274","10,262","10,226","10,164","10,114"
" Neosho County, Kansas","15,900","15,905","15,787","15,583","15,420"
" Ness County, Kansas","2,682","2,673","2,651","2,657","2,618"
" Norton County, Kansas","5,457","5,453","5,369","5,325","5,330"
" Osage County, Kansas","15,765","15,741","15,752","15,705","15,824"
" Osborne County, Kansas","3,494","3,490","3,485","3,481","3,427"
" Ottawa County, Kansas","5,729","5,729","5,830","5,806","5,818"
" Pawnee County, Kansas","6,254","6,256","6,247","6,188","6,126"
" Phillips County, Kansas","4,973","4,961","4,819","4,783","4,761"
" Pottawatomie County, Kansas","25,343","25,411","25,873","26,292","26,382"
" Pratt County, Kansas","9,153","9,143","9,168","9,073","9,082"
" Rawlins County, Kansas","2,566","2,572","2,558","2,523","2,463"
" Reno County, Kansas","61,883","61,878","61,499","61,552","61,497"
" Republic County, Kansas","4,669","4,664","4,688","4,653","4,627"
" Rice County, Kansas","9,426","9,389","9,389","9,370","9,260"
" Riley County, Kansas","71,964","72,016","71,871","71,563","71,402"
" Rooks County, Kansas","4,918","4,893","4,865","4,810","4,778"
" Rush County, Kansas","2,951","2,938","2,928","2,941","2,830"
" Russell County, Kansas","6,691","6,678","6,697","6,733","6,723"
" Saline County, Kansas","54,297","54,254","53,827","53,389","53,098"
" Scott County, Kansas","5,152","5,139","5,121","5,007","4,922"
" Sedgwick County, Kansas","523,836","524,821","524,423","525,368","528,469"
" Seward County, Kansas","21,963","21,857","21,763","21,345","21,067"
" Shawnee County, Kansas","178,907","178,709","178,403","177,537","177,746"
" Sheridan County, Kansas","2,442","2,445","2,451","2,439","2,423"
" Sherman County, Kansas","5,926","5,897","5,932","5,876","5,844"
" Smith County, Kansas","3,575","3,567","3,573","3,572","3,590"
" Stafford County, Kansas","4,064","4,049","4,008","3,971","3,909"
" Stanton County, Kansas","2,085","2,084","2,045","1,967","1,901"
" Stevens County, Kansas","5,249","5,243","5,302","5,166","5,077"
" Sumner County, Kansas","22,376","22,328","22,327","22,359","22,334"
" Thomas County, Kansas","7,930","7,932","7,948","7,908","7,865"
" Trego County, Kansas","2,805","2,803","2,788","2,746","2,731"
" Wabaunsee County, Kansas","6,876","6,891","6,970","7,009","7,057"
" Wallace County, Kansas","1,512","1,512","1,513","1,493","1,509"
" Washington County, Kansas","5,530","5,530","5,525","5,493","5,504"
" Wichita County, Kansas","2,153","2,149","2,080","2,078","2,082"
" Wilson County, Kansas","8,629","8,582","8,520","8,554","8,382"
" Woodson County, Kansas","3,123","3,099","3,084","3,117","3,115"
" Wyandotte County, Kansas","169,231","168,914","167,262","165,626","165,281"
" Adair County, Kentucky","18,904","18,883","18,966","19,097","19,264"
" Allen County, Kentucky","20,580","20,574","20,839","21,283","21,788"
" Anderson County, Kentucky","23,863","23,883","24,084","24,273","24,613"
" Ballard County, Kentucky","7,730","7,713","7,687","7,642","7,582"
" Barren County, Kentucky","44,481","44,505","44,598","44,872","45,008"
" Bath County, Kentucky","12,747","12,716","12,795","12,828","12,975"
" Bell County, Kentucky","24,100","23,984","23,834","23,611","23,317"
" Boone County, Kentucky","135,988","136,468","137,747","139,045","140,496"
" Bourbon County, Kentucky","20,246","20,286","20,224","20,109","20,134"
" Boyd County, Kentucky","48,258","48,206","47,757","48,059","47,826"
" Boyle County, Kentucky","30,614","30,753","30,604","30,851","30,988"
" Bracken County, Kentucky","8,401","8,400","8,440","8,435","8,426"
" Breathitt County, Kentucky","13,715","13,693","13,546","13,358","12,953"
" Breckinridge County, Kentucky","20,435","20,447","20,687","20,961","21,124"
" Bullitt County, Kentucky","82,231","82,366","83,073","83,774","84,863"
" Butler County, Kentucky","12,369","12,316","12,302","12,365","12,375"
" Caldwell County, Kentucky","12,647","12,635","12,678","12,608","12,551"
" Calloway County, Kentucky","37,544","37,596","37,896","38,093","38,280"
" Campbell County, Kentucky","93,068","93,127","92,828","93,272","93,702"
" Carlisle County, Kentucky","4,820","4,807","4,761","4,719","4,704"
" Carroll County, Kentucky","10,798","10,825","10,896","10,939","10,987"
" Carter County, Kentucky","26,626","26,609","26,430","26,343","26,366"
" Casey County, Kentucky","15,939","15,918","15,940","15,911","15,918"
" Christian County, Kentucky","72,813","72,762","73,180","72,286","72,032"
" Clark County, Kentucky","36,987","37,035","36,895","36,992","37,304"
" Clay County, Kentucky","20,339","20,312","20,161","19,874","19,648"
" Clinton County, Kentucky","9,253","9,232","9,282","9,139","9,148"
" Crittenden County, Kentucky","8,988","9,003","8,944","8,991","8,974"
" Cumberland County, Kentucky","5,884","5,856","5,900","5,969","6,000"
" Daviess County, Kentucky","103,324","103,405","103,089","103,189","103,458"
" Edmonson County, Kentucky","12,132","12,152","12,237","12,302","12,448"
" Elliott County, Kentucky","7,352","7,334","7,361","7,292","7,245"
" Estill County, Kentucky","14,164","14,161","14,086","14,024","13,936"
" Fayette County, Kentucky","322,564","322,627","320,519","320,281","320,154"
" Fleming County, Kentucky","15,087","15,101","15,265","15,278","15,442"
" Floyd County, Kentucky","35,941","35,798","35,304","34,918","34,423"
" Franklin County, Kentucky","51,540","51,594","51,714","51,548","51,644"
" Fulton County, Kentucky","6,513","6,511","6,487","6,371","6,338"
" Gallatin County, Kentucky","8,693","8,673","8,763","8,773","8,792"
" Garrard County, Kentucky","16,946","16,963","17,366","17,566","17,829"
" Grant County, Kentucky","24,945","25,015","25,292","25,474","25,619"
" Graves County, Kentucky","36,654","36,528","36,673","36,493","36,461"
" Grayson County, Kentucky","26,421","26,460","26,583","26,643","26,825"
" Green County, Kentucky","11,110","11,132","11,325","11,392","11,468"
" Greenup County, Kentucky","35,958","35,877","35,643","35,375","35,221"
" Hancock County, Kentucky","9,093","9,101","9,073","9,027","8,920"
" Hardin County, Kentucky","110,696","110,829","111,878","111,743","112,273"
" Harlan County, Kentucky","26,833","26,754","26,150","25,652","25,324"
" Harrison County, Kentucky","18,692","18,719","18,957","19,105","19,415"
" Hart County, Kentucky","19,281","19,290","19,477","19,594","19,724"
" Henderson County, Kentucky","44,798","44,678","44,418","44,032","44,119"
" Henry County, Kentucky","15,681","15,698","15,708","15,760","15,973"
" Hickman County, Kentucky","4,521","4,529","4,426","4,434","4,447"
" Hopkins County, Kentucky","45,421","45,369","45,189","44,926","44,929"
" Jackson County, Kentucky","12,957","12,963","12,980","12,989","13,104"
" Jefferson County, Kentucky","782,964","782,845","777,251","773,095","772,144"
" Jessamine County, Kentucky","52,990","53,024","53,603","54,236","55,017"
" Johnson County, Kentucky","22,679","22,648","22,548","22,235","22,116"
" Kenton County, Kentucky","169,042","169,271","169,698","170,280","171,321"
" Knott County, Kentucky","14,246","14,158","14,032","13,847","13,659"
" Knox County, Kentucky","30,197","30,185","30,025","29,773","29,794"
" Larue County, Kentucky","14,861","14,873","15,027","15,150","15,303"
" Laurel County, Kentucky","62,608","62,727","62,580","62,879","63,296"
" Lawrence County, Kentucky","16,291","16,303","16,284","16,097","16,000"
" Lee County, Kentucky","7,391","7,368","7,462","7,273","7,293"
" Leslie County, Kentucky","10,513","10,468","10,280","10,049","9,864"
" Letcher County, Kentucky","21,550","21,465","21,224","20,827","20,423"
" Lewis County, Kentucky","13,083","13,087","12,991","12,937","12,973"
" Lincoln County, Kentucky","24,281","24,255","24,295","24,419","24,776"
" Livingston County, Kentucky","8,888","8,871","8,980","8,968","8,892"
" Logan County, Kentucky","27,429","27,513","27,804","27,856","28,283"
" Lyon County, Kentucky","8,685","8,679","8,435","9,099","9,187"
" McCracken County, Kentucky","67,872","67,917","67,546","67,366","67,428"
" McCreary County, Kentucky","16,886","16,840","16,804","16,783","17,050"
" McLean County, Kentucky","9,153","9,136","9,122","9,107","9,054"
" Madison County, Kentucky","92,705","92,993","93,474","95,151","96,735"
" Magoffin County, Kentucky","11,638","11,603","11,489","11,348","11,228"
" Marion County, Kentucky","19,579","19,592","19,739","19,748","19,834"
" Marshall County, Kentucky","31,664","31,691","31,829","31,790","31,744"
" Martin County, Kentucky","11,290","11,253","11,165","11,096","10,928"
" Mason County, Kentucky","17,122","17,133","16,960","16,903","16,841"
" Meade County, Kentucky","30,005","30,026","30,119","30,010","30,131"
" Menifee County, Kentucky","6,114","6,146","6,185","6,236","6,286"
" Mercer County, Kentucky","22,644","22,655","22,860","22,900","23,097"
" Metcalfe County, Kentucky","10,290","10,288","10,391","10,408","10,482"
" Monroe County, Kentucky","11,336","11,319","11,260","11,353","11,306"
" Montgomery County, Kentucky","28,109","28,112","28,230","28,357","28,527"
" Morgan County, Kentucky","13,729","13,735","13,689","14,146","14,283"
" Muhlenberg County, Kentucky","30,933","30,894","30,323","30,696","30,568"
" Nelson County, Kentucky","46,727","46,779","47,127","47,359","47,730"
" Nicholas County, Kentucky","7,532","7,541","7,733","7,786","7,686"
" Ohio County, Kentucky","23,771","23,747","23,744","23,496","23,626"
" Oldham County, Kentucky","67,607","67,693","68,238","69,444","70,183"
" Owen County, Kentucky","11,267","11,301","11,298","11,294","11,313"
" Owsley County, Kentucky","4,053","4,032","3,974","3,958","4,001"
" Pendleton County, Kentucky","14,648","14,648","14,635","14,703","14,810"
" Perry County, Kentucky","28,470","28,367","27,927","27,367","27,133"
" Pike County, Kentucky","58,663","58,441","57,416","56,317","55,973"
" Powell County, Kentucky","13,125","13,093","13,086","13,041","12,972"
" Pulaski County, Kentucky","65,039","65,116","65,571","65,767","66,191"
" Robertson County, Kentucky","2,195","2,184","2,257","2,247","2,313"
" Rockcastle County, Kentucky","16,036","16,059","16,134","16,225","16,190"
" Rowan County, Kentucky","24,656","24,722","24,569","24,372","24,409"
" Russell County, Kentucky","17,996","18,002","18,172","18,185","18,279"
" Scott County, Kentucky","57,160","57,531","58,316","59,077","60,168"
" Shelby County, Kentucky","48,101","48,244","48,588","48,842","49,515"
" Simpson County, Kentucky","19,601","19,633","19,734","19,948","20,195"
" Spencer County, Kentucky","19,433","19,511","19,887","20,212","20,531"
" Taylor County, Kentucky","26,020","26,000","26,187","26,396","26,443"
" Todd County, Kentucky","12,248","12,288","12,301","12,394","12,494"
" Trigg County, Kentucky","14,053","14,078","14,220","14,348","14,369"
" Trimble County, Kentucky","8,468","8,460","8,549","8,527","8,607"
" Union County, Kentucky","13,670","13,652","13,254","13,104","13,106"
" Warren County, Kentucky","134,558","135,028","137,225","140,046","142,229"
" Washington County, Kentucky","12,029","12,043","12,080","12,060","12,267"
" Wayne County, Kentucky","19,554","19,539","19,535","19,634","19,580"
" Webster County, Kentucky","13,014","13,018","12,852","12,739","12,726"
" Whitley County, Kentucky","36,714","36,698","36,761","36,908","36,825"
" Wolfe County, Kentucky","6,564","6,559","6,507","6,416","6,282"
" Woodford County, Kentucky","26,873","26,904","27,082","27,053","27,268"
" Acadia Parish, Louisiana","57,571","57,478","57,217","56,725","56,489"
" Allen Parish, Louisiana","22,752","22,687","22,588","22,287","22,112"
" Ascension Parish, Louisiana","126,499","126,978","128,571","130,485","131,632"
" Assumption Parish, Louisiana","21,046","20,963","20,696","20,463","20,160"
" Avoyelles Parish, Louisiana","39,692","39,646","39,261","38,715","38,408"
" Beauregard Parish, Louisiana","36,555","36,605","36,668","36,624","36,827"
" Bienville Parish, Louisiana","12,983","12,913","12,779","12,612","12,366"
" Bossier Parish, Louisiana","128,732","128,721","129,323","129,153","129,795"
" Caddo Parish, Louisiana","237,865","236,945","232,658","228,934","226,386"
" Calcasieu Parish, Louisiana","216,783","216,481","204,914","202,288","203,761"
" Caldwell Parish, Louisiana","9,646","9,615","9,576","9,493","9,389"
" Cameron Parish, Louisiana","5,619","5,623","5,094","4,896","4,768"
" Catahoula Parish, Louisiana","8,905","8,844","8,721","8,604","8,414"
" Claiborne Parish, Louisiana","14,168","14,103","14,043","13,849","13,670"
" Concordia Parish, Louisiana","18,680","18,569","18,348","18,026","17,688"
" De Soto Parish, Louisiana","26,812","26,845","26,949","26,856","27,114"
" East Baton Rouge Parish, Louisiana","456,783","455,899","453,596","450,091","448,467"
" East Carroll Parish, Louisiana","7,459","7,397","7,229","6,939","6,829"
" East Feliciana Parish, Louisiana","19,541","19,456","19,373","19,208","19,229"
" Evangeline Parish, Louisiana","32,342","32,297","32,213","32,033","31,754"
" Franklin Parish, Louisiana","19,773","19,713","19,609","19,358","19,285"
" Grant Parish, Louisiana","22,171","22,149","22,256","22,040","21,911"
" Iberia Parish, Louisiana","70,288","70,055","69,325","68,320","67,659"
" Iberville Parish, Louisiana","30,242","30,064","29,747","29,613","29,617"
" Jackson Parish, Louisiana","15,036","14,998","14,900","14,816","14,746"
" Jefferson Parish, Louisiana","440,783","439,725","434,134","426,030","421,777"
" Jefferson Davis Parish, Louisiana","32,249","32,210","32,373","31,929","31,553"
" Lafayette Parish, Louisiana","241,737","242,145","244,880","247,714","249,750"
" Lafourche Parish, Louisiana","97,565","97,454","97,599","95,751","95,056"
" LaSalle Parish, Louisiana","14,797","14,823","14,842","14,821","14,800"
" Lincoln Parish, Louisiana","48,401","48,309","48,110","47,980","47,962"
" Livingston Parish, Louisiana","142,282","142,834","146,121","148,056","150,145"
" Madison Parish, Louisiana","10,017","9,927","9,801","9,480","9,246"
" Morehouse Parish, Louisiana","25,638","25,465","25,021","24,414","23,955"
" Natchitoches Parish, Louisiana","37,516","37,387","36,973","36,648","36,291"
" Orleans Parish, Louisiana","383,997","383,241","377,346","369,917","364,136"
" Ouachita Parish, Louisiana","160,370","160,111","158,866","157,704","157,568"
" Plaquemines Parish, Louisiana","23,515","23,460","23,310","22,618","22,386"
" Pointe Coupee Parish, Louisiana","20,755","20,673","20,346","20,212","20,000"
" Rapides Parish, Louisiana","130,013","129,651","128,626","127,028","126,260"
" Red River Parish, Louisiana","7,619","7,582","7,505","7,465","7,356"
" Richland Parish, Louisiana","20,041","20,026","19,856","19,784","19,712"
" Sabine Parish, Louisiana","22,149","22,099","22,096","21,974","21,906"
" St. Bernard Parish, Louisiana","43,765","43,856","44,324","44,419","44,463"
" St. Charles Parish, Louisiana","52,548","52,513","52,470","51,058","50,620"
" St. Helena Parish, Louisiana","10,922","10,898","10,903","10,789","10,774"
" St. James Parish, Louisiana","20,197","20,120","19,794","19,388","19,191"
" St. John the Baptist Parish, Louisiana","42,481","42,366","42,109","39,955","39,592"
" St. Landry Parish, Louisiana","82,557","82,314","82,191","81,679","81,464"
" St. Martin Parish, Louisiana","51,768","51,634","51,562","51,249","51,057"
" St. Mary Parish, Louisiana","49,398","49,142","48,219","47,819","47,055"
" St. Tammany Parish, Louisiana","264,571","265,000","270,147","273,237","275,583"
" Tangipahoa Parish, Louisiana","133,162","133,654","135,488","136,799","138,064"
" Tensas Parish, Louisiana","4,147","4,107","4,024","3,814","3,764"
" Terrebonne Parish, Louisiana","109,577","109,405","108,955","104,632","103,616"
" Union Parish, Louisiana","21,105","21,092","21,001","20,729","20,650"
" Vermilion Parish, Louisiana","57,006","56,956","56,874","56,953","56,992"
" Vernon Parish, Louisiana","48,745","48,622","48,022","46,870","46,250"
" Washington Parish, Louisiana","45,463","45,357","45,198","44,991","44,865"
" Webster Parish, Louisiana","36,966","36,883","35,938","35,527","35,238"
" West Baton Rouge Parish, Louisiana","27,202","27,262","27,798","28,034","28,266"
" West Carroll Parish, Louisiana","9,757","9,696","9,583","9,481","9,323"
" West Feliciana Parish, Louisiana","15,308","15,259","15,495","15,396","15,371"
" Winn Parish, Louisiana","13,753","13,720","13,493","13,251","13,216"
" Androscoggin County, Maine","111,132","111,175","112,732","113,225","113,765"
" Aroostook County, Maine","67,099","67,063","67,075","67,322","67,351"
" Cumberland County, Maine","303,065","303,585","306,107","308,837","310,230"
" Franklin County, Maine","29,452","29,468","30,258","30,595","30,828"
" Hancock County, Maine","55,482","55,511","56,355","56,549","56,526"
" Kennebec County, Maine","124,503","124,712","125,752","126,535","127,259"
" Knox County, Maine","40,604","40,654","41,069","41,179","40,977"
" Lincoln County, Maine","35,248","35,263","36,024","36,285","36,507"
" Oxford County, Maine","57,765","57,898","58,692","59,458","59,905"
" Penobscot County, Maine","152,187","152,169","153,359","154,728","155,312"
" Piscataquis County, Maine","16,801","16,808","17,217","17,403","17,486"
" Sagadahoc County, Maine","36,703","36,732","37,170","37,372","37,513"
" Somerset County, Maine","50,481","50,473","50,782","51,118","51,302"
" Waldo County, Maine","39,596","39,658","39,978","40,255","40,620"
" Washington County, Maine","31,090","31,088","31,192","31,527","31,555"
" York County, Maine","211,969","212,260","215,025","216,950","218,586"
" Allegany County, Maryland","68,108","67,960","67,687","67,266","67,273"
" Anne Arundel County, Maryland","588,270","589,106","592,085","593,347","594,582"
" Baltimore County, Maryland","854,554","853,387","850,691","845,986","844,703"
" Calvert County, Maryland","92,789","92,915","94,233","94,559","94,728"
" Caroline County, Maryland","33,292","33,270","33,429","33,427","33,593"
" Carroll County, Maryland","172,895","172,941","174,313","175,472","176,639"
" Cecil County, Maryland","103,724","103,800","104,056","104,870","105,672"
" Charles County, Maryland","166,621","166,741","168,927","170,111","171,973"
" Dorchester County, Maryland","32,529","32,530","32,594","32,583","32,879"
" Frederick County, Maryland","271,710","272,786","280,647","287,540","293,391"
" Garrett County, Maryland","28,807","28,798","28,758","28,588","28,423"
" Harford County, Maryland","260,922","261,230","263,302","263,815","264,644"
" Howard County, Maryland","332,316","332,814","335,328","335,366","336,001"
" Kent County, Maryland","19,198","19,120","19,244","19,295","19,303"
" Montgomery County, Maryland","1,062,065","1,060,904","1,056,193","1,053,067","1,058,474"
" Prince George's County, Maryland","967,215","965,365","956,451","946,980","947,430"
" Queen Anne's County, Maryland","49,876","50,033","50,922","51,720","52,508"
" St. Mary's County, Maryland","113,777","113,999","114,650","114,783","115,281"
" Somerset County, Maryland","24,615","24,561","24,546","24,608","24,910"
" Talbot County, Maryland","37,523","37,488","37,756","37,814","37,823"
" Washington County, Maryland","154,704","154,697","155,143","155,257","155,813"
" Wicomico County, Maryland","103,588","103,565","104,114","104,486","104,800"
" Worcester County, Maryland","52,465","52,522","53,398","53,934","54,171"
" Baltimore city, Maryland","585,690","583,157","576,578","569,107","565,239"
" Barnstable County, Massachusetts","228,995","228,012","232,315","232,078","231,735"
" Berkshire County, Massachusetts","129,039","128,619","128,376","127,547","126,818"
" Bristol County, Massachusetts","579,208","576,772","579,756","579,744","581,841"
" Dukes County, Massachusetts","20,605","20,593","21,127","20,962","20,819"
" Essex County, Massachusetts","809,827","807,791","807,360","806,499","810,089"
" Franklin County, Massachusetts","71,028","70,923","70,991","70,995","70,836"
" Hampden County, Massachusetts","465,839","464,311","462,862","460,758","460,291"
" Hampshire County, Massachusetts","162,316","146,616","163,128","162,518","162,502"
" Middlesex County, Massachusetts","1,632,028","1,628,235","1,617,262","1,616,794","1,623,952"
" Nantucket County, Massachusetts","14,251","14,237","14,506","14,443","14,444"
" Norfolk County, Massachusetts","725,932","724,554","724,471","725,469","727,473"
" Plymouth County, Massachusetts","530,819","530,200","533,059","533,248","535,308"
" Suffolk County, Massachusetts","800,930","797,181","774,514","768,812","768,425"
" Worcester County, Massachusetts","862,116","859,669","862,224","862,873","866,866"
" Alcona County, Michigan","10,169","10,192","10,295","10,397","10,489"
" Alger County, Michigan","8,836","8,842","8,774","8,773","8,757"
" Allegan County, Michigan","120,514","120,669","121,068","121,290","121,939"
" Alpena County, Michigan","28,912","28,886","28,939","28,833","28,904"
" Antrim County, Michigan","23,426","23,458","23,879","24,265","24,409"
" Arenac County, Michigan","15,003","15,001","15,016","15,123","15,145"
" Baraga County, Michigan","8,152","8,142","8,286","8,283","8,310"
" Barry County, Michigan","62,421","62,598","63,141","63,402","63,808"
" Bay County, Michigan","103,855","103,742","103,108","102,638","102,500"
" Benzie County, Michigan","17,964","17,990","18,237","18,327","18,441"
" Berrien County, Michigan","154,318","154,197","153,352","152,835","152,261"
" Branch County, Michigan","44,873","44,884","45,215","44,502","45,215"
" Calhoun County, Michigan","134,297","134,200","133,878","133,424","133,366"
